"State","Year","Total_Emissions"
"Australian Capital Territory",1990,1140
"Australian Capital Territory",1991,1228
"Australian Capital Territory",1992,1132
"Australian Capital Territory",1993,1171
"Australian Capital Territory",1994,1405
"Australian Capital Territory",1995,1121
"Australian Capital Territory",1996,1223
"Australian Capital Territory",1997,1121
"Australian Capital Territory",1998,1149
"Australian Capital Territory",1999,1401
"Australian Capital Territory",2000,1213
"Australian Capital Territory",2001,1121
"Australian Capital Territory",2002,1191
"Australian Capital Territory",2003,1286
"Australian Capital Territory",2004,1613
"Australian Capital Territory",2005,1422
"Australian Capital Territory",2006,1483
"Australian Capital Territory",2007,1328
"Australian Capital Territory",2008,1300
"Australian Capital Territory",2009,1951
"Australian Capital Territory",2010,1623
"Australian Capital Territory",2011,1798
"Australian Capital Territory",2012,1632
"Australian Capital Territory",2013,1561
"Australian Capital Territory",2014,1527
"Australian Capital Territory",2015,1583
"Australian Capital Territory",2016,1381
"Australian Capital Territory",2017,1466
"Australian Capital Territory",2018,1195
"Australian Capital Territory",2019,1186
"Australian Capital Territory",2020,1182
"Australian Capital Territory",2021,1104
"Australian Capital Territory",2022,1284
"New South Wales",1990,169167
"New South Wales",1991,156443
"New South Wales",1992,156666
"New South Wales",1993,141279
"New South Wales",1994,143074
"New South Wales",1995,134113
"New South Wales",1996,127966
"New South Wales",1997,127478
"New South Wales",1998,132658
"New South Wales",1999,139296
"New South Wales",2000,148730
"New South Wales",2001,151114
"New South Wales",2002,153247
"New South Wales",2003,147400
"New South Wales",2004,148905
"New South Wales",2005,152743
"New South Wales",2006,164351
"New South Wales",2007,159815
"New South Wales",2008,157175
"New South Wales",2009,152397
"New South Wales",2010,152116
"New South Wales",2011,149418
"New South Wales",2012,146178
"New South Wales",2013,135696
"New South Wales",2014,137433
"New South Wales",2015,129889
"New South Wales",2016,120948
"New South Wales",2017,139013
"New South Wales",2018,133256
"New South Wales",2019,119981
"New South Wales",2020,116691
"New South Wales",2021,107838
"New South Wales",2022,110997
"Northern Territory",1990,16960
"Northern Territory",1991,18035
"Northern Territory",1992,19627
"Northern Territory",1993,18665
"Northern Territory",1994,19498
"Northern Territory",1995,21474
"Northern Territory",1996,23584
"Northern Territory",1997,21185
"Northern Territory",1998,23624
"Northern Territory",1999,21816
"Northern Territory",2000,24228
"Northern Territory",2001,19293
"Northern Territory",2002,18229
"Northern Territory",2003,18409
"Northern Territory",2004,10386
"Northern Territory",2005,11213
"Northern Territory",2006,17718
"Northern Territory",2007,18009
"Northern Territory",2008,13008
"Northern Territory",2009,17698
"Northern Territory",2010,12484
"Northern Territory",2011,10050
"Northern Territory",2012,8088
"Northern Territory",2013,11267
"Northern Territory",2014,14207
"Northern Territory",2015,11381
"Northern Territory",2016,12767
"Northern Territory",2017,14699
"Northern Territory",2018,11138
"Northern Territory",2019,17676
"Northern Territory",2020,18127
"Northern Territory",2021,15300
"Northern Territory",2022,16732
"Queensland",1990,184663
"Queensland",1991,180602
"Queensland",1992,151899
"Queensland",1993,150333
"Queensland",1994,135231
"Queensland",1995,130442
"Queensland",1996,133293
"Queensland",1997,139148
"Queensland",1998,142498
"Queensland",1999,159312
"Queensland",2000,157362
"Queensland",2001,171385
"Queensland",2002,180572
"Queensland",2003,175275
"Queensland",2004,164990
"Queensland",2005,191939
"Queensland",2006,204571
"Queensland",2007,189660
"Queensland",2008,186708
"Queensland",2009,181060
"Queensland",2010,178456
"Queensland",2011,179756
"Queensland",2012,164059
"Queensland",2013,181930
"Queensland",2014,174333
"Queensland",2015,169698
"Queensland",2016,156099
"Queensland",2017,168356
"Queensland",2018,165674
"Queensland",2019,157052
"Queensland",2020,151133
"Queensland",2021,143283
"Queensland",2022,124096
"South Australia",1990,37103
"South Australia",1991,31806
"South Australia",1992,32411
"South Australia",1993,32178
"South Australia",1994,30144
"South Australia",1995,30570
"South Australia",1996,29568
"South Australia",1997,28224
"South Australia",1998,30084
"South Australia",1999,32996
"South Australia",2000,31151
"South Australia",2001,33813
"South Australia",2002,34984
"South Australia",2003,35059
"South Australia",2004,35414
"South Australia",2005,36532
"South Australia",2006,34963
"South Australia",2007,33190
"South Australia",2008,34048
"South Australia",2009,30175
"South Australia",2010,28785
"South Australia",2011,24168
"South Australia",2012,25809
"South Australia",2013,26473
"South Australia",2014,24678
"South Australia",2015,26655
"South Australia",2016,22017
"South Australia",2017,22569
"South Australia",2018,25004
"South Australia",2019,23288
"South Australia",2020,24061
"South Australia",2021,19905
"South Australia",2022,15821
"Tasmania",1990,19543
"Tasmania",1991,23077
"Tasmania",1992,18220
"Tasmania",1993,16496
"Tasmania",1994,15726
"Tasmania",1995,20194
"Tasmania",1996,18580
"Tasmania",1997,14444
"Tasmania",1998,15210
"Tasmania",1999,15246
"Tasmania",2000,17891
"Tasmania",2001,18167
"Tasmania",2002,13784
"Tasmania",2003,13465
"Tasmania",2004,13456
"Tasmania",2005,15500
"Tasmania",2006,10535
"Tasmania",2007,9373
"Tasmania",2008,11780
"Tasmania",2009,9584
"Tasmania",2010,8629
"Tasmania",2011,9340
"Tasmania",2012,2358
"Tasmania",2013,280
"Tasmania",2014,-3280
"Tasmania",2015,-2865
"Tasmania",2016,-6395
"Tasmania",2017,-2015
"Tasmania",2018,-6755
"Tasmania",2019,-4369
"Tasmania",2020,-5416
"Tasmania",2021,-3661
"Tasmania",2022,-4339
"Victoria",1990,108631
"Victoria",1991,106426
"Victoria",1992,106181
"Victoria",1993,105605
"Victoria",1994,105971
"Victoria",1995,106148
"Victoria",1996,105187
"Victoria",1997,107065
"Victoria",1998,112550
"Victoria",1999,112875
"Victoria",2000,117280
"Victoria",2001,119152
"Victoria",2002,117301
"Victoria",2003,122393
"Victoria",2004,128217
"Victoria",2005,123233
"Victoria",2006,128477
"Victoria",2007,127008
"Victoria",2008,127628
"Victoria",2009,133057
"Victoria",2010,138151
"Victoria",2011,134238
"Victoria",2012,127323
"Victoria",2013,115049
"Victoria",2014,111164
"Victoria",2015,113090
"Victoria",2016,100774
"Victoria",2017,102126
"Victoria",2018,88920
"Victoria",2019,86788
"Victoria",2020,86245
"Victoria",2021,80389
"Victoria",2022,84715
"Western Australia",1990,77750
"Western Australia",1991,76953
"Western Australia",1992,67896
"Western Australia",1993,67295
"Western Australia",1994,71742
"Western Australia",1995,66206
"Western Australia",1996,71972
"Western Australia",1997,70824
"Western Australia",1998,69465
"Western Australia",1999,64742
"Western Australia",2000,71324
"Western Australia",2001,71782
"Western Australia",2002,71061
"Western Australia",2003,76660
"Western Australia",2004,71124
"Western Australia",2005,76226
"Western Australia",2006,82162
"Western Australia",2007,86939
"Western Australia",2008,82144
"Western Australia",2009,81086
"Western Australia",2010,88007
"Western Australia",2011,67889
"Western Australia",2012,78289
"Western Australia",2013,83890
"Western Australia",2014,77188
"Western Australia",2015,83263
"Western Australia",2016,82319
"Western Australia",2017,81725
"Western Australia",2018,82262
"Western Australia",2019,88267
"Western Australia",2020,81531
"Western Australia",2021,73730
"Western Australia",2022,82542
